,Price
2021-11-01 07:00:00,70.8575
2021-11-01 09:00:00,71.56666666666666
2021-11-01 11:00:00,68.8125
2021-11-01 13:00:00,63.25
2021-11-01 15:00:00,65.58958333333334
2021-11-01 17:00:00,
2021-11-01 19:00:00,
2021-11-01 21:00:00,
2021-11-01 23:00:00,
2021-11-02 01:00:00,
2021-11-02 03:00:00,
2021-11-02 05:00:00,
2021-11-02 07:00:00,65.678125
2021-11-02 09:00:00,64.95625
2021-11-02 11:00:00,66.72916666666667
2021-11-02 13:00:00,67.39583333333333
2021-11-02 15:00:00,67.53125
2021-11-02 17:00:00,
2021-11-02 19:00:00,
2021-11-02 21:00:00,
2021-11-02 23:00:00,
2021-11-03 01:00:00,
2021-11-03 03:00:00,
2021-11-03 05:00:00,
2021-11-03 07:00:00,70.975
2021-11-03 09:00:00,72.57083333333334
2021-11-03 11:00:00,73.78958333333334
2021-11-03 13:00:00,76.1125
2021-11-03 15:00:00,76.99583333333334
2021-11-03 17:00:00,
2021-11-03 19:00:00,
2021-11-03 21:00:00,
2021-11-03 23:00:00,
2021-11-04 01:00:00,
2021-11-04 03:00:00,
2021-11-04 05:00:00,
2021-11-04 07:00:00,76.85499999999999
2021-11-04 09:00:00,77.0625
2021-11-04 11:00:00,74.88541666666667
2021-11-04 13:00:00,73.67291666666667
2021-11-04 15:00:00,72.96249999999999
2021-11-04 17:00:00,
2021-11-04 19:00:00,
2021-11-04 21:00:00,
2021-11-04 23:00:00,
2021-11-05 01:00:00,
2021-11-05 03:00:00,
2021-11-05 05:00:00,
2021-11-05 07:00:00,75.95416666666667
2021-11-05 09:00:00,73.86041666666667
2021-11-05 11:00:00,72.52708333333334
2021-11-05 13:00:00,72.18958333333333
2021-11-05 15:00:00,73.05833333333334
2021-11-05 17:00:00,
2021-11-05 19:00:00,
2021-11-05 21:00:00,
2021-11-05 23:00:00,
2021-11-06 01:00:00,
2021-11-06 03:00:00,
2021-11-06 05:00:00,
2021-11-06 07:00:00,
2021-11-06 09:00:00,
2021-11-06 11:00:00,
2021-11-06 13:00:00,
2021-11-06 15:00:00,
2021-11-06 17:00:00,
2021-11-06 19:00:00,
2021-11-06 21:00:00,
2021-11-06 23:00:00,
2021-11-07 01:00:00,
2021-11-07 03:00:00,
2021-11-07 05:00:00,
2021-11-07 07:00:00,
2021-11-07 09:00:00,
2021-11-07 11:00:00,
2021-11-07 13:00:00,
2021-11-07 15:00:00,
2021-11-07 17:00:00,
2021-11-07 19:00:00,
2021-11-07 21:00:00,
2021-11-07 23:00:00,
2021-11-08 01:00:00,
2021-11-08 03:00:00,
2021-11-08 05:00:00,
2021-11-08 07:00:00,79.07499999999999
2021-11-08 09:00:00,76.63125000000001
2021-11-08 11:00:00,76.00416666666666
2021-11-08 13:00:00,76.87916666666668
2021-11-08 15:00:00,77.73125
2021-11-08 17:00:00,
2021-11-08 19:00:00,
2021-11-08 21:00:00,
2021-11-08 23:00:00,
2021-11-09 01:00:00,
2021-11-09 03:00:00,
2021-11-09 05:00:00,
2021-11-09 07:00:00,75.505
2021-11-09 09:00:00,76.19791666666667
2021-11-09 11:00:00,76.48541666666667
2021-11-09 13:00:00,75.19375000000001
2021-11-09 15:00:00,72.80624999999999
2021-11-09 17:00:00,
2021-11-09 19:00:00,
2021-11-09 21:00:00,
2021-11-09 23:00:00,
2021-11-10 01:00:00,
2021-11-10 03:00:00,
2021-11-10 05:00:00,
2021-11-10 07:00:00,67.135
2021-11-10 09:00:00,66.18958333333333
2021-11-10 11:00:00,64.42083333333333
2021-11-10 13:00:00,66.58958333333334
2021-11-10 15:00:00,68.95833333333333
2021-11-10 17:00:00,
